hero_id,hero_name,role,platform,pick_rate,win_rate,display_rank
black-panther,Black Panther,Duelist,console,0.0378,0.5100,33
magik,Magik,Duelist,console,0.0363,0.5470,34
blade,Blade,Duelist,console,0.0343,0.5339,35
groot,Groot,Vanguard,console,0.0339,0.4934,36
squirrel-girl,Squirrel Girl,Duelist,console,0.0339,0.4703,37
ultron,Ultron,Strategist,console,0.0333,0.5752,38
iron-fist,Iron Fist,Duelist,console,0.0314,0.5135,39
phoenix,Phoenix,Duelist,console,0.0314,0.4456,40
moon-knight,Moon Knight,Duelist,console,0.0308,0.4404,41
angela,Angela,Vanguard,console,0.0295,0.5088,42
star-lord,Star-Lord,Duelist,console,0.0293,0.4685,43
loki,Loki,Strategist,console,0.0278,0.5007,44
psylocke,Psylocke,Duelist,console,0.0273,0.4799,45
adam-warlock,Adam Warlock,Strategist,console,0.0265,0.5194,46
daredevil,Daredevil,Duelist,console,0.0245,0.5084,47
storm,Storm,Duelist,console,0.0230,0.5600,48
deadpool-duelist,Deadpool,Duelist,console,0.0221,0.4578,49
hawkeye,Hawkeye,Duelist,console,0.0217,0.4656,50
mister-fantastic,Mister Fantastic,Duelist,console,0.0208,0.5501,51
black-cat,Black Cat,Duelist,console,0.0196,0.4805,52
wolverine,Wolverine,Duelist,console,0.0184,0.4738,53
human-torch,Human Torch,Duelist,console,0.0173,0.4848,54
